Bowler Type,Variation,Length,Pitch,Phase,Shot,Dot,1,2,3,4,6,Wicket,Extra
Fast,Outswing,Hard,Dusty,PowerPlay,Drive,38.09,19.05,6.67,0.0,19.05,7.62,7.62,1.9
Fast,Outswing,Hard,Dusty,PowerPlay,Cut,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,PowerPlay,Pull,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,PowerPlay,Leg Glance,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,PowerPlay,Flick,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,PowerPlay,Sweep,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,PowerPlay,Switch hit,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,PowerPlay,Slog,30.43,8.7,2.61,0.0,21.74,21.74,13.04,1.74
Fast,Outswing,Hard,Dusty,PowerPlay,Loft,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Dusty,Middle Phase,Drive,43.68,19.42,6.8,0.0,14.56,5.83,7.77,1.94
Fast,Outswing,Hard,Dusty,Middle Phase,Cut,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Middle Phase,Pull,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Middle Phase,Leg Glance,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Middle Phase,Flick,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Middle Phase,Sweep,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Middle Phase,Switch hit,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Middle Phase,Slog,35.41,8.85,2.65,0.0,17.7,20.35,13.27,1.77
Fast,Outswing,Hard,Dusty,Middle Phase,Loft,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Dusty,Death,Drive,25.42,16.95,5.93,0.0,21.19,17.8,11.02,1.69
Fast,Outswing,Hard,Dusty,Death,Cut,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dusty,Death,Pull,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dusty,Death,Leg Glance,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dusty,Death,Flick,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dusty,Death,Sweep,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dusty,Death,Switch hit,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Dusty,Death,Slog,19.54,7.81,2.34,0.0,23.44,29.69,15.62,1.56
Fast,Outswing,Hard,Dusty,Death,Loft,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,PowerPlay,Drive,38.09,19.05,6.67,0.0,19.05,7.62,7.62,1.9
Fast,Outswing,Hard,Hard,PowerPlay,Cut,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,PowerPlay,Pull,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,PowerPlay,Leg Glance,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,PowerPlay,Flick,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,PowerPlay,Sweep,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,PowerPlay,Switch hit,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,PowerPlay,Slog,30.43,8.7,2.61,0.0,21.74,21.74,13.04,1.74
Fast,Outswing,Hard,Hard,PowerPlay,Loft,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Hard,Middle Phase,Drive,43.68,19.42,6.8,0.0,14.56,5.83,7.77,1.94
Fast,Outswing,Hard,Hard,Middle Phase,Cut,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Middle Phase,Pull,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Middle Phase,Leg Glance,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Middle Phase,Flick,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Middle Phase,Sweep,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Middle Phase,Switch hit,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Middle Phase,Slog,35.41,8.85,2.65,0.0,17.7,20.35,13.27,1.77
Fast,Outswing,Hard,Hard,Middle Phase,Loft,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Hard,Death,Drive,25.42,16.95,5.93,0.0,21.19,17.8,11.02,1.69
Fast,Outswing,Hard,Hard,Death,Cut,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,Death,Pull,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,Death,Leg Glance,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,Death,Flick,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,Death,Sweep,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,Death,Switch hit,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Hard,Death,Slog,19.54,7.81,2.34,0.0,23.44,29.69,15.62,1.56
Fast,Outswing,Hard,Hard,Death,Loft,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,PowerPlay,Drive,38.09,19.05,6.67,0.0,19.05,7.62,7.62,1.9
Fast,Outswing,Hard,Flat,PowerPlay,Cut,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,PowerPlay,Pull,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,PowerPlay,Leg Glance,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,PowerPlay,Flick,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,PowerPlay,Sweep,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,PowerPlay,Switch hit,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,PowerPlay,Slog,30.43,8.7,2.61,0.0,21.74,21.74,13.04,1.74
Fast,Outswing,Hard,Flat,PowerPlay,Loft,44.12,14.71,4.9,0.0,14.71,9.8,9.8,1.96
Fast,Outswing,Hard,Flat,Middle Phase,Drive,43.68,19.42,6.8,0.0,14.56,5.83,7.77,1.94
Fast,Outswing,Hard,Flat,Middle Phase,Cut,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Middle Phase,Pull,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Middle Phase,Leg Glance,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Middle Phase,Flick,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Middle Phase,Sweep,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Middle Phase,Switch hit,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Middle Phase,Slog,35.41,8.85,2.65,0.0,17.7,20.35,13.27,1.77
Fast,Outswing,Hard,Flat,Middle Phase,Loft,50.0,15.0,5.0,0.0,10.0,8.0,10.0,2.0
Fast,Outswing,Hard,Flat,Death,Drive,25.42,16.95,5.93,0.0,21.19,17.8,11.02,1.69
Fast,Outswing,Hard,Flat,Death,Cut,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,Death,Pull,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,Death,Leg Glance,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,Death,Flick,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,Death,Sweep,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,Death,Switch hit,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Hard,Flat,Death,Slog,19.54,7.81,2.34,0.0,23.44,29.69,15.62,1.56
Fast,Outswing,Hard,Flat,Death,Loft,30.44,13.04,4.35,0.0,17.39,20.0,13.04,1.74
Fast,Outswing,Good,Green,PowerPlay,Drive,36.7,27.52,6.42,0.0,15.6,0.0,11.93,1.83
Fast,Outswing,Good,Green,PowerPlay,Cut,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,PowerPlay,Pull,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,PowerPlay,Leg Glance,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,PowerPlay,Flick,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,PowerPlay,Sweep,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,PowerPlay,Switch hit,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,PowerPlay,Slog,29.93,17.09,2.56,0.0,18.8,12.82,17.09,1.71
Fast,Outswing,Good,Green,PowerPlay,Loft,43.27,24.04,4.81,0.0,11.54,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Drive,41.29,27.52,6.42,0.0,11.01,0.0,11.93,1.83
Fast,Outswing,Good,Green,Middle Phase,Cut,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Pull,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Leg Glance,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Flick,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Sweep,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Switch hit,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Middle Phase,Slog,34.79,17.39,2.61,0.0,14.78,11.3,17.39,1.74
Fast,Outswing,Good,Green,Middle Phase,Loft,48.08,24.04,4.81,0.0,6.73,0.0,14.42,1.92
Fast,Outswing,Good,Green,Death,Drive,25.0,25.0,5.83,0.0,18.33,9.17,15.0,1.67
Fast,Outswing,Good,Green,Death,Cut,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Green,Death,Pull,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Green,Death,Leg Glance,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Green,Death,Flick,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Green,Death,Sweep,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Green,Death,Switch hit,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Green,Death,Slog,19.23,15.38,2.31,0.0,20.77,21.54,19.23,1.54
Fast,Outswing,Good,Green,Death,Loft,29.92,21.37,4.27,0.0,14.53,11.11,17.09,1.71
Fast,Outswing,Good,Dry,PowerPlay,Drive,32.71,28.04,6.54,0.0,20.56,2.8,7.48,1.87
Fast,Outswing,Good,Dry,PowerPlay,Cut,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,PowerPlay,Pull,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,PowerPlay,Leg Glance,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,PowerPlay,Flick,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,PowerPlay,Sweep,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,PowerPlay,Switch hit,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,PowerPlay,Slog,25.65,17.09,2.56,0.0,23.08,17.09,12.82,1.71
Fast,Outswing,Good,Dry,PowerPlay,Loft,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dry,Middle Phase,Drive,38.1,28.57,6.67,0.0,16.19,0.95,7.62,1.9
Fast,Outswing,Good,Dry,Middle Phase,Cut,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Middle Phase,Pull,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Middle Phase,Leg Glance,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Middle Phase,Flick,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Middle Phase,Sweep,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Middle Phase,Switch hit,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Middle Phase,Slog,30.44,17.39,2.61,0.0,19.13,15.65,13.04,1.74
Fast,Outswing,Good,Dry,Middle Phase,Loft,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dry,Death,Drive,20.84,25.0,5.83,0.0,22.5,13.33,10.83,1.67
Fast,Outswing,Good,Dry,Death,Cut,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dry,Death,Pull,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dry,Death,Leg Glance,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dry,Death,Flick,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dry,Death,Sweep,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dry,Death,Switch hit,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dry,Death,Slog,15.39,15.38,2.31,0.0,24.62,25.38,15.38,1.54
Fast,Outswing,Good,Dry,Death,Loft,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,PowerPlay,Drive,32.71,28.04,6.54,0.0,20.56,2.8,7.48,1.87
Fast,Outswing,Good,Dusty,PowerPlay,Cut,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,PowerPlay,Pull,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,PowerPlay,Leg Glance,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,PowerPlay,Flick,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,PowerPlay,Sweep,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,PowerPlay,Switch hit,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,PowerPlay,Slog,25.65,17.09,2.56,0.0,23.08,17.09,12.82,1.71
Fast,Outswing,Good,Dusty,PowerPlay,Loft,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Dusty,Middle Phase,Drive,38.1,28.57,6.67,0.0,16.19,0.95,7.62,1.9
Fast,Outswing,Good,Dusty,Middle Phase,Cut,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Middle Phase,Pull,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Middle Phase,Leg Glance,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Middle Phase,Flick,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Middle Phase,Sweep,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Middle Phase,Switch hit,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Middle Phase,Slog,30.44,17.39,2.61,0.0,19.13,15.65,13.04,1.74
Fast,Outswing,Good,Dusty,Middle Phase,Loft,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Dusty,Death,Drive,20.84,25.0,5.83,0.0,22.5,13.33,10.83,1.67
Fast,Outswing,Good,Dusty,Death,Cut,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,Death,Pull,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,Death,Leg Glance,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,Death,Flick,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,Death,Sweep,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,Death,Switch hit,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Dusty,Death,Slog,15.39,15.38,2.31,0.0,24.62,25.38,15.38,1.54
Fast,Outswing,Good,Dusty,Death,Loft,25.65,21.37,4.27,0.0,18.8,15.38,12.82,1.71
Fast,Outswing,Good,Hard,PowerPlay,Drive,32.71,28.04,6.54,0.0,20.56,2.8,7.48,1.87
Fast,Outswing,Good,Hard,PowerPlay,Cut,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,PowerPlay,Pull,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,PowerPlay,Leg Glance,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,PowerPlay,Flick,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,PowerPlay,Sweep,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,PowerPlay,Switch hit,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,PowerPlay,Slog,25.65,17.09,2.56,0.0,23.08,17.09,12.82,1.71
Fast,Outswing,Good,Hard,PowerPlay,Loft,38.45,24.04,4.81,0.0,16.35,4.81,9.62,1.92
Fast,Outswing,Good,Hard,Middle Phase,Drive,38.1,28.57,6.67,0.0,16.19,0.95,7.62,1.9
Fast,Outswing,Good,Hard,Middle Phase,Cut,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Middle Phase,Pull,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Middle Phase,Leg Glance,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Middle Phase,Flick,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Middle Phase,Sweep,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Middle Phase,Switch hit,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Middle Phase,Slog,30.44,17.39,2.61,0.0,19.13,15.65,13.04,1.74
Fast,Outswing,Good,Hard,Middle Phase,Loft,44.13,24.51,4.9,0.0,11.76,2.94,9.8,1.96
Fast,Outswing,Good,Hard,Death,Drive,20.84,25.0,5.83,0.0,22.5,13.33,10.83,1.67
